=== 分类统计 ===
   84 | 留归档（AI汇总）
   36 | 研发部周会
   36 | 待确认
   35 | 项目进度会
   23 | 新太项目
   18 | 项目部周会
   12 | 广州机场
    6 | 技术讨论
    3 | 武汉机场
    2 | 上港项目
    1 | 洛阳石化
  ---
  256 | 总计

文件名	分类	目标路径	判断依据
Video meeting—研发部 on Dec 10, 2024 - AI notes.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"Video meeting—研发部"
Video meeting—研发部 on Dec 11, 2024 - AI notes.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"Video meeting—研发部"
Video meeting—研发部 on Dec 12, 2024 - AI notes.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"Video meeting—研发部"
Video meeting—研发部 on Dec 13, 2024 - AI notes.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"Video meeting—研发部"
Video meeting—研发部 on Dec 2, 2024 - AI notes.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"Video meeting—研发部"
Video meeting—研发部 on Dec 20, 2024 - AI notes.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"Video meeting—研发部"
Video meeting—研发部 on Dec 24, 2024 - AI notes.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"Video meeting—研发部"
Video meeting—研发部 on Dec 3, 2024 - AI notes.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"Video meeting—研发部"
Video meeting—研发部 on Nov 26, 2024 - AI notes.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"Video meeting—研发部"
Video meeting—研发部 on Nov 28, 2024 - AI notes.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"Video meeting—研发部"
Video meeting—研发部 on Nov 29, 2024 - AI notes.md	研发部周会	2-Areas/Work/团队管理/周会纪要/研发部/	标题含"Video meeting—研发部"
Video meeting—项目部 on Dec 10, 2024 - AI notes.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"Video meeting—项目部"
Video meeting—项目部 on Dec 11, 2024 - AI notes.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"Video meeting—项目部"
Video meeting—项目部 on Dec 13, 2024 - AI notes.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"Video meeting—项目部"
Video meeting—项目部 on Dec 2, 2024 - AI notes.md	项目部周会	2-Areas/Work/团队管理/周会纪要/项目部/	标题含"Video meeting—项目部"
