飞书路径	类型	Token	名称	状态
云空间/何宜峰的个人文档/IOT	docx	J5Qndk4g1o0dWBxNCjIcxpcCneb	IOT	✅ 已迁移(md)
云空间/何宜峰的个人文档/近期会议速递｜要点概览 2025年12月22日	docx	NJnQd8imdoNmXhxcmjccqoAwnxb	近期会议速递｜要点概览 2025年12月22日	⏳ 会议纪要
云空间/何宜峰的个人文档/月度纪要小结｜11月24日 - 12月19日	docx	DkxkdBBbFoSr5Axve4GcwIvenjg	月度纪要小结｜11月24日 - 12月19日	⏳ 会议纪要
云空间/何宜峰的个人文档/近期会议速递｜要点概览 2025年12月15日	docx	U7tmdjSSsoQWqTxMbYFcRLVtnxb	近期会议速递｜要点概览 2025年12月15日	⏳ 会议纪要
云空间/何宜峰的个人文档/月度纪要小结｜10月27日 - 11月21日	docx	QTUOdDTqkoDqZJxzzbncYw4On2d	月度纪要小结｜10月27日 - 11月21日	⏳ 会议纪要
云空间/何宜峰的个人文档/近期会议速递｜要点概览 2025年11月17日	docx	LmlMdaCD1oibasxwfDWcMTVenOh	近期会议速递｜要点概览 2025年11月17日	⏳ 会议纪要
云空间/何宜峰的个人文档/智能纪要：管理内容、分支及注释问题讨论 2025年11月6日	docx	OCCsdy2coohBdmxcVdVcPIlNnof	智能纪要：管理内容、分支及注释问题讨论 2025年11月6日	⏳ 会议纪要
云空间/何宜峰的个人文档/文字记录：管理内容、分支及注释问题讨论 2025年11月6日	docx	Pvl3dZTnmo8xyPx3dLjcdFf8nqf	文字记录：管理内容、分支及注释问题讨论 2025年11月6日	⏳ 会议纪要
云空间/何宜峰的个人文档/智能纪要：分子构建与插件使用安装讨论 2025年11月6日	docx	XmvYdGxTLoHZpJxmb0pcEgZNnbc	智能纪要：分子构建与插件使用安装讨论 2025年11月6日	⏳ 会议纪要
云空间/何宜峰的个人文档/文字记录：分子构建与插件使用安装讨论 2025年11月6日	docx	HrTkdTglAohn1pxSxbfcUGPBnIc	文字记录：分子构建与插件使用安装讨论 2025年11月6日	⏳ 会议纪要
云空间/何宜峰的个人文档/近期会议速递｜要点概览 2025年11月3日	docx	CYC3dSQq8oV0jZxBvEncpFYZnKA	近期会议速递｜要点概览 2025年11月3日	⏳ 会议纪要
云空间/何宜峰的个人文档/智能纪要：管理员数据库表及任务归属问题讨论 2025年10月30日	docx	QDWldDLdjoNx0Bx291QcPcBxnbS	智能纪要：管理员数据库表及任务归属问题讨论 2025年10月30日	⏳ 会议纪要
云空间/何宜峰的个人文档/文字记录：管理员数据库表及任务归属问题讨论 2025年10月30日	docx	UfuNdjJLAoTZnaxGRH0c4KAbnwg	文字记录：管理员数据库表及任务归属问题讨论 2025年10月30日	⏳ 会议纪要
云空间/何宜峰的个人文档/智能纪要：数据同步、订阅测试及新数据格式讨论 2025年10月28日	docx	LqMIdcq9Nod1nlxOYGvcxUVwnqh	智能纪要：数据同步、订阅测试及新数据格式讨论 2025年10月28日	⏳ 会议纪要
云空间/何宜峰的个人文档/文字记录：数据同步、订阅测试及新数据格式讨论  2025年10月28日	docx	UHKEdQ12Mo7q1Wxrw3LchCN7ncb	文字记录：数据同步、订阅测试及新数据格式讨论  2025年10月28日	⏳ 会议纪要
云空间/何宜峰的个人文档/智能纪要：8084接口、列表及地图问题讨论 2025年10月27日	docx	Vyf1d9xi7oSdZVxPUrAcWMIOnEf	智能纪要：8084接口、列表及地图问题讨论 2025年10月27日	⏳ 会议纪要
云空间/何宜峰的个人文档/文字记录：8084接口、列表及地图问题讨论 2025年10月27日	docx	LdfpdNSktotC7WxY1nAcoQ0gn5g	文字记录：8084接口、列表及地图问题讨论 2025年10月27日	⏳ 会议纪要
云空间/何宜峰的个人文档/智能纪要：云江项目任务方案及后续安排会 2025年10月27日	docx	Satnd39gXoHjQYxUzW6cVWvinOe	智能纪要：云江项目任务方案及后续安排会 2025年10月27日	⏳ 会议纪要
云空间/何宜峰的个人文档/文字记录：云江项目任务方案及后续安排会 2025年10月27日	docx	KhyYd0clVo2XuGxNWqrc9pGSnVd	文字记录：云江项目任务方案及后续安排会 2025年10月27日	⏳ 会议纪要
云空间/何宜峰的个人文档/近期会议速递｜要点概览 2025年10月20日	docx	S1nAdbGeSo5l7hxb058cIhEwnOd	近期会议速递｜要点概览 2025年10月20日	⏳ 会议纪要
云空间/何宜峰的个人文档/智能纪要：项目依赖、日志及硬盘问题会议 2025年10月13日	docx	SVJodwciFoT6vGxQGiicoCpBnjg	智能纪要：项目依赖、日志及硬盘问题会议 2025年10月13日	⏳ 会议纪要
云空间/何宜峰的个人文档/文字记录：项目依赖、日志及硬盘问题会议 2025年10月13日	docx	K1rBdMgWcopeZjxXKBFc5nACndd	文字记录：项目依赖、日志及硬盘问题会议 2025年10月13日	⏳ 会议纪要
云空间/何宜峰的个人文档/员工入职表-空白(1).xls	file	L3hKbcijfohKN2xtueVc88dcnEd	员工入职表-空白(1).xls	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/移交运维资料模版/【模板】ORMS运营资源管理系统运维白皮书.docx	file	EsLPbFtkQo74bNxlhdlcURLOn2f	【模板】ORMS运营资源管理系统运维白皮书.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/移交运维资料模版/【模板】运维中心系统进程清单.xlsx	file	PlXMbjlWSo0kutxGE6acGnyGnWe	【模板】运维中心系统进程清单.xlsx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/移交运维资料模版/【模板】集成系统配置清单.docx	file	WhnebNA3aoMPUfx2ibOcok8anSt	【模板】集成系统配置清单.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/移交运维资料模版/【模板】系统运维白皮书编制指引.csv	file	NqkKbzyVGoH1EIxIrtgcL6n3nff	【模板】系统运维白皮书编制指引.csv	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/移交运维资料模版/【模板】FIMS航班信息管理系统故障处理手册.docx	file	VH7ebv5hFoZEzsxxTjSc1XconFf	【模板】FIMS航班信息管理系统故障处理手册.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统应急预案.docx	file	RjYCbF0sooblaWxld1QcHGa0nsf	综合定位系统应急预案.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统运维白皮书编写内容框架	docx	GkcQdk58kocgF7x6ytNc4ikYnvg	综合定位系统运维白皮书编写内容框架	✅ 已迁移(md)
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统运维白皮书.docx	file	FRZJbZ2eaoUdZ8xDFvIcukptnAf	综合定位系统运维白皮书.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统运维白皮书	docx	AMuadobIrozdlZxG96gcHgtPnxe	综合定位系统运维白皮书	✅ 已迁移(md)
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统故障处理手册.docx	file	EbM7biChGogW08xW8hFc66kxnTc	综合定位系统故障处理手册.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统故障处理手册-备份.docx	file	Mp22bIeSioudVCx4YAicrZImntg	综合定位系统故障处理手册-备份.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统服务器重启保养方案.docx	file	OQuSbyVdboeKtMxsPotcF3rPnye	综合定位系统服务器重启保养方案.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统配置清单编写内容框架	docx	JUInd4Gmwo2B29xizZQcJtq0nKe	综合定位系统配置清单编写内容框架	✅ 已迁移(md)
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统用户手册.docx	file	Er2SbXJtuoXvhUxjt37cL9U1nkg	综合定位系统用户手册.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统数据字典.docx	file	GbORbkAKzo86KzxnROocG0pknZg	综合定位系统数据字典.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统运维白皮书编制指引.csv	file	OpAMbQj7eoMClKxQFimcwFqon5e	综合定位系统运维白皮书编制指引.csv	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统进程清单编写内容框架	docx	NibpdCR4coY77ex8qIrcRo7Dnjh	综合定位系统进程清单编写内容框架	✅ 已迁移(md)
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统故障处理手册编写内容框架	docx	BoKEdhVWkokrI9x2U2VcDvzSnAb	综合定位系统故障处理手册编写内容框架	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统资产.xlsx	file	VBxxbZH2ToO0ISx2wFecDSifnWa	综合定位系统资产.xlsx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统进程清单.xlsx	file	F1Kzb6Wgqo7zJNxMhzEcPdf1nbd	综合定位系统进程清单.xlsx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/运维白皮书/综合定位系统配置清单.docx	file	H6CZbtXWqoHSLyximHXch32bnQh	综合定位系统配置清单.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/漏洞处理/P202504032-广州白云国际机场股份有限公司-T3综合定位系统-现场测评记录表及问题汇总(合并对象)-20250911.docx	file	NqCNbU8q3oLTRvxy35OcQSdJnag	P202504032-广州白云国际机场股份有限公司-T3综合定位系统-现场测评记录表及问题汇总(合并对象)-20250911.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/漏洞处理/P202504032-广州白云国际机场股份有限公司-大运控协同管理平台-现场测评记录表及问题汇总(合并对象)-20250911(2).docx	file	ZB6MbzpUOo1k9WxmsHkcmIaKnTe	P202504032-广州白云国际机场股份有限公司-大运控协同管理平台-现场测评记录表及问题汇总(合并对象)-20250911(2).docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/漏洞处理/漏洞处理	docx	LI0NdjROyoKclKxQMsUcgF8Nngg	漏洞处理	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/漏洞处理/672_T3综合定位系统-室内外定位平台_2025_08_18_html.zip	file	JOk7bd0ofoiKcixV670czUG4nJf	672_T3综合定位系统-室内外定位平台_2025_08_18_html.zip	❌ 未迁移
云空间/莱讯科技/项目资料管理/004. 广州机场-综合定位/漏洞处理/619_大运控协同管理平台移动应用平台_2025_08_16.zip	file	W3P3boCkooNmLOxSZ3Yc3L4unTc	619_大运控协同管理平台移动应用平台_2025_08_16.zip	❌ 未迁移
