"@timestamp",message
"Apr 13, 2026 @ 23:43:50.219","2026-04-13 15:43:49.463 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 20个标签"
"Apr 13, 2026 @ 23:43:40.218","2026-04-13 15:43:39.309 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 17个标签"
"Apr 13, 2026 @ 23:43:30.221","2026-04-13 15:43:29.309 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 19个标签"
"Apr 13, 2026 @ 23:43:20.230","2026-04-13 15:43:19.510 DEBUG 1 --- [621825997692102] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 18个标签"
"Apr 13, 2026 @ 23:43:10.227","2026-04-13 15:43:09.314 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 17个标签"
"Apr 13, 2026 @ 23:43:00.216","2026-04-13 15:42:59.339 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 19个标签"
"Apr 13, 2026 @ 23:42:40.212","2026-04-13 15:42:39.354 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 19个标签"
"Apr 13, 2026 @ 23:42:30.223","2026-04-13 15:42:29.289 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 20个标签"
"Apr 13, 2026 @ 23:42:20.218","2026-04-13 15:42:19.549 DEBUG 1 --- [621825997692102] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 15个标签"
"Apr 13, 2026 @ 23:42:10.212","2026-04-13 15:42:09.302 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 20个标签"
"Apr 13, 2026 @ 23:41:30.216","2026-04-13 15:41:29.310 DEBUG 1 --- [621825997692102] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 17个标签"
"Apr 13, 2026 @ 23:41:20.222","2026-04-13 15:41:19.316 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 16个标签"
"Apr 13, 2026 @ 23:41:10.212","2026-04-13 15:41:09.297 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 19个标签"
"Apr 13, 2026 @ 23:41:00.215","2026-04-13 15:40:59.287 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 17个标签"
"Apr 13, 2026 @ 23:40:40.213","2026-04-13 15:40:39.290 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 19个标签"
"Apr 13, 2026 @ 23:40:00.219","2026-04-13 15:39:59.296 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 20个标签"
"Apr 13, 2026 @ 23:39:50.223","2026-04-13 15:39:49.602 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 17个标签"
"Apr 13, 2026 @ 23:39:40.215","2026-04-13 15:39:39.275 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 15个标签"
"Apr 13, 2026 @ 23:39:20.214","2026-04-13 15:39:19.646 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 15个标签"
"Apr 13, 2026 @ 23:38:40.217","2026-04-13 15:38:39.258 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 21个标签"
"Apr 13, 2026 @ 23:37:30.215","2026-04-13 15:37:29.256 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 17个标签"
"Apr 13, 2026 @ 23:37:10.212","2026-04-13 15:37:09.239 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 18个标签"
