message,"@timestamp"
"2026-04-13 15:51:39.409 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a17b0)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095490, rssi=-80, battery=3716, reserved=0, data=0201061AFF39060209C8044AB809C8046DBB09C80468C509C80463BD840E}","Apr 13, 2026 @ 23:51:40.339"
"2026-04-13 15:51:39.411 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-59), Beacon(mac=2504:1123, latitude=23.36806275, longitude=113.317077, rssi=-67), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-69), Beacon(mac=2504:1098, latitude=23.36799357, longitude=113.31701, rssi=-72)]","Apr 13, 2026 @ 23:51:40.339"
"2026-04-13 15:51:24.176 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-67), Beacon(mac=2504:1123, latitude=23.36806275, longitude=113.317077, rssi=-72), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-72), Beacon(mac=2504:1098, latitude=23.36799357, longitude=113.31701, rssi=-73)]","Apr 13, 2026 @ 23:51:24.363"
"2026-04-13 15:51:24.172 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a2a90)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095480, rssi=-92, battery=3716, reserved=0, data=0201061AFF39060209C8044AB709C80463B809C8046DB809C80468BD840E}","Apr 13, 2026 @ 23:51:24.362"
"2026-04-13 15:51:19.578 DEBUG 1 --- [621825997692102] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-67), Beacon(mac=2504:1123, latitude=23.36806275, longitude=113.317077, rssi=-72), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-72), Beacon(mac=2504:1098, latitude=23.36799357, longitude=113.31701, rssi=-73)]","Apr 13, 2026 @ 23:51:20.352"
"2026-04-13 15:51:19.575 DEBUG 1 --- [621825997692102] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a17b0)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095469, rssi=-71, battery=3716, reserved=0, data=0201061AFF39060209C8044AB709C80463B809C8046DB809C80468BD840E}","Apr 13, 2026 @ 23:51:20.351"
"2026-04-13 15:51:09.432 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a17b0)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095459, rssi=-71, battery=3716, reserved=0, data=0201061AFF39060209C8044AB709C80463B809C8046DB809C80468BD840E}","Apr 13, 2026 @ 23:51:10.344"
"2026-04-13 15:51:09.434 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-67), Beacon(mac=2504:1123, latitude=23.36806275, longitude=113.317077, rssi=-72), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-72), Beacon(mac=2504:1098, latitude=23.36799357, longitude=113.31701, rssi=-73)]","Apr 13, 2026 @ 23:51:10.344"
"2026-04-13 15:50:44.203 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a2a90)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095440, rssi=-89, battery=3716, reserved=0, data=0201061AFF39060209C8059EB509C80468BB09C8046DBB09C8044ABC840E}","Apr 13, 2026 @ 23:50:44.403"
"2026-04-13 15:50:44.209 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1098, latitude=23.36799357, longitude=113.31701, rssi=-68), Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-69), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-69), Beacon(mac=2504:1438, latitude=23.36795888, longitude=113.3171294, rssi=-75)]","Apr 13, 2026 @ 23:50:44.403"
