Name,Assign,Attachments,Complete,Due,Section,Tag
江门购房价值,,,No,,调研,
广州购房价值,,,No,,调研,
粤港澳大湾区,,,No,,调研,
Iris 月收入 1W,,,No,,月收支评估,
LB 月收入 1W5,,,No,,月收支评估,
日常支出 5K,,,No,,月收支评估,
小孩支出 5K,,,No,,月收支评估,
可支配资金 1W5,,,No,,月收支评估,
总价 265W,,,No,,房屋贷款评估,
LB 家庭 首付 30W,,,No,,房屋贷款评估,
Iris 首付 30W,,,No,,房屋贷款评估,
总贷款 205W,,,No,,房屋贷款评估,
向银行贷款 185W （30年 / 年利息5%）,,,No,,房屋贷款评估,
还银行贷款 月供 0.98W,,,No,,房屋贷款评估,
向亲戚贷款 20W （3年 / 年利息3%）,,,No,,房屋贷款评估,
还亲戚贷款 月供0.872W,,,No,,房屋贷款评估,
市区一手楼越来越少,,,No,,广州楼市预测,
2018年 升值 6%,,,No,,广州楼市预测,
2017年 升值 27.7%,,,No,,广州楼市预测,
2016年 升值 12%,,,No,,广州楼市预测,
2015年 贬值 5%,,,No,,广州楼市预测,
2014年 贬值 5%,,,No,,广州楼市预测,
2013年 升值 37%,,,No,,广州楼市预测,
2012年 升值 6%,,,No,,广州楼市预测,
2011年 升值 10%,,,No,,广州楼市预测,
2010年 升值 50%,,,No,,广州楼市预测,
广州市房价走势,,,No,,广州楼市预测,
荔湾区房价走势,,,No,,广州楼市预测,
荔湾区走势预测,,,No,,广州楼市预测,
该小区房价预测,,,No,,广州楼市预测,
"预测该房房价每年上升 10% ",,,No,,广州楼市预测,
本金 60W 3%利率 30年 总利息 54.79W,,,No,,盈亏预估,
银行贷款 4.9%年利率 总利息168.46W,,,No,,盈亏预估,
亲戚贷款 3%利率 3年 总利息 1W4,,,No,,盈亏预估,
本金 月利息 0.152W,,,No,,盈亏预估,
银行贷款 月利息 0.467W,,,No,,盈亏预估,
亲戚贷款 月还利息 0.038W,,,No,,盈亏预估,
每月总利息 0.657W,,,No,,盈亏预估,
每月升值至少 0.247%,,,No,,盈亏预估,
每年升值至少 2.97%   7.884W,,,No,,盈亏预估,
新装电梯 预计2年后可升值 5% 13.25W,,,No,,盈亏预估,
文章,,,No,,考虑因素,
未来月收入评估,,,No,,考虑因素,
亲戚借钱方案,,,No,,考虑因素,
周边均价差价,,,No,,考虑因素,
,,,No,,,
