Name,Assign,Attachments,Complete,Due,Section,Tag
Agile,,,No,,准备工作,
Snap 电话面试,Bingxin Liu,,Yes,"September 7, 2018 12:15 AM (GMT+8)",准备面试,
投两份简历,,,Yes,,投简历,
投两份简历,Bingxin Liu,,Yes,,投简历,
What did you do to lead your team?,,,No,,面试题,
Introduction,,,No,,面试题,
Why are you in job research?,,,No,,面试题,
Can you tell me something about your current company?,,,No,,面试题,
What do you know about our company? (Snap / Bitmoji),,,No,,面试题,
How did you find out this job?,,,No,,面试题,
When can you start?,,,No,,面试题,
What are your salary expectations?,,,No,,面试题,
What are your strengths?,,,No,,面试题,
What are my weakness?,,,No,,面试题,
Do you have any question?,,,No,,面试题,
FizzBuzz,,,No,,技术面试题,
