Name,Assign,Attachments,Complete,Due,Section,Tag
Test,,,No,,总结,
预产期,,,No,"May 23, 2019 8:00 AM (GMT+8)",总结,
建档于 广州市妇女儿童医疗中心 （人民中路院区）,,,Yes,"November 12, 2018 8:00 AM (GMT+8)",总结,
第一次产检,,,Yes,"November 9, 2018 8:00 AM (GMT+8)",总结,
末次M期,,,Yes,"August 16, 2018 8:00 AM (GMT+8)",总结,
总结,,,No,,饮食营养,
第15周,,,Yes,"November 29, 2018 8:00 AM (GMT+8)",饮食营养,
第14周,,,Yes,"November 22, 2018 8:00 AM (GMT+8)",饮食营养,
第13周,,,Yes,"November 15, 2018 8:00 AM (GMT+8)",饮食营养,
中期,,,No,"February 21, 2019 8:00 AM (GMT+8)",饮食营养,
第12周,,,Yes,"November 8, 2018 8:00 AM (GMT+8)",饮食营养,
早期,,,No,"November 8, 2018 8:00 AM (GMT+8)",饮食营养,
第18周,,,No,"December 20, 2018 8:00 AM (GMT+8)",孕期列表,
第19周,,,No,"December 27, 2018 8:00 AM (GMT+8)",孕期列表,
第20周,,,No,"January 3, 2019 8:00 AM (GMT+8)",孕期列表,
第21周,,,No,"January 10, 2019 8:00 AM (GMT+8)",孕期列表,
第22周,,,No,"January 17, 2019 8:00 AM (GMT+8)",孕期列表,
第23周,,,No,"January 24, 2019 8:00 AM (GMT+8)",孕期列表,
第24周,,,No,"January 31, 2019 8:00 AM (GMT+8)",孕期列表,
第25周,,,No,"February 7, 2019 8:00 AM (GMT+8)",孕期列表,
第26周,,,No,"February 14, 2019 8:00 AM (GMT+8)",孕期列表,
第27周,,,No,"February 21, 2019 8:00 AM (GMT+8)",孕期列表,
晚期,,,No,,孕期列表,
第28周,,,No,"February 28, 2019 8:00 AM (GMT+8)",孕期列表,
第29周,,,No,"March 7, 2019 8:00 AM (GMT+8)",孕期列表,
第30周,,,No,"March 14, 2019 8:00 AM (GMT+8)",孕期列表,
第31周,,,No,"March 21, 2019 8:00 AM (GMT+8)",孕期列表,
第32周,,,No,"March 28, 2019 8:00 AM (GMT+8)",孕期列表,
第33周,,,No,"April 4, 2019 8:00 AM (GMT+8)",孕期列表,
第34周,,,No,"April 11, 2019 8:00 AM (GMT+8)",孕期列表,
第35周,,,No,"April 18, 2019 8:00 AM (GMT+8)",孕期列表,
第36周,,,No,"April 25, 2019 8:00 AM (GMT+8)",孕期列表,
第37周,,,No,"May 2, 2019 8:00 AM (GMT+8)",孕期列表,
第38周,,,No,"May 9, 2019 8:00 AM (GMT+8)",孕期列表,
第39周,,,No,"May 16, 2019 8:00 AM (GMT+8)",孕期列表,
