Name,Assign,Status
工具：房贷计算器,,
茂林园 7 楼,,茂林园7楼
市值：280W 分期,,茂林园7楼
理想价格：250w,,茂林园7楼
六叔希望280w 全款购买,,茂林园7楼
茂林园4楼,,茂林园4楼
市值：小于 280W 分期,,茂林园4楼
正在出租：月租 2650,,茂林园4楼
正常总价： 小于280w,,市场价
正常还款期：30年,,市场价
正常利息：4.90%,,市场价
正常首付：84w,,市场价
正常月供：10402.24,,市场价
正常还款总额：374w,,市场价
正常房屋总额：458w,,市场价
理想总价：250w,,理想价
理想还款期：30年,,理想价
理想利率：4%,,理想价
理想首付：50w,,理想价
理想月供：9548.31,,理想价
理想还款总额：343w,,理想价
理想房屋总额：393w,,理想价
首期50w （30w + 20w）,,能承受支出范围
月供 7000,,能承受支出范围
供 30 年,,能承受支出范围
总价 252w,,能承受支出范围
如果本人没能力或想主动终止还款，则以市价出售房产，,,其他待商量条件
装修费用 20w,,装修
总价：250w,,理想价 + 家庭帮助
首期50w （30w + 20w）+ 50w,,理想价 + 家庭帮助
还款期：20年,,理想价 + 家庭帮助
年利率：4%,,理想价 + 家庭帮助
月供：9089.70,,理想价 + 家庭帮助
还款总额：218w,,理想价 + 家庭帮助
房屋总额：318w,,理想价 + 家庭帮助
