原始token	文件名	副本token	wiki_node_token	状态
boxcniIloR4LNtC8K1T5Kp1uQIb	模型.skp	EqFLbreBrolbLExJbedczv08nQg	HaDHwzKtNioZ74kr94lceFpFnxb	成功
boxcnjRj2VKAnuJeyXxcLGdKNdc	贴膜-转曲.pdf	JZSvbjqhXobgkex5kd8cual7n2e	待查	已move
boxcnl4rts8j0vxg8KwYvWWEMcH	1.png	IF4Obn46CoKpg8x9Mzccrb2XnYb	待查	已move
boxcnR40sl2sXGcRV1xGd86kFGe	1-2.psd	DBYYbcf03oBAjtxjJ4dcYjP3nRd	待查	已move
boxcnWIoya5ih9tEnGSONadv8Ae	贴膜-转曲.ai	VAZxbxrHIoJKDexTWr7cn1u6nle	待查	已move
boxcno7C5qxNp1HYEgqGZ3n8dLe	2.png	XFbFbpJB8otaSIxNIRtcs9cTnMS	Ih2PwSIpdiIbYskiLk4cbhe4nlf	成功
boxcntJsgOlPAAQC2JKWvJdZ7jS	b8389b504fc2d56209c309e6e91190ef77c66cf6.png	O3IGbhOrFowpGIxIN8qcf8nqnhd	HqBqwxIKRiU3bVkm0ihc97MqnAh	成功
boxcn22lrhP0tusMxtJUekJ6kuc	1-2.png	Fm1UbRgPRobW5AxwLAucPUkbncb	QG93wPg6QiSeY6kmTMIc6KMqngc	成功
boxcnIcEgy1JavUBJ1p3PSxAPpb	贴膜v4-转曲.ai	CUZQbof8WooskbxlQcsczSW6ni3	K84Vw5zXAiW1GakwF4dc4EACnfd	成功
boxcnWlLrZjzxvfbw7eOO3vxZEb	1.psd	Zh5EbEdz7oEqaYxu4QWcflCDn1b	CZ0AwWWAViVLdlk8yNucCWwynff	成功
boxcnoII2s5OxgmNuMptfcaS8Af	贴膜v5-转曲-灰底.ai	LZDIbF9hgouLn3xpIMIccxVMnZc	Gtvmwb2nYi28oGke7lVcnVOOn0f	成功
boxcnbkXhTpbmEHb1U9MsUq6B7A	1-1.png	MREPb4OOsoJpKFx6kBIc3qejnHh	CNPLwaJhUi55UEkSMxSczYdtnmq	成功
boxcnUOG5EQCN7kKdBsVJ4GybAb	贴膜v5-转曲-02.png	KRW1bbcauouSpcxH3yVcqgiNn7f	LQq3w0cKqi0oD1kCAJHcVQNknde	成功
boxcnK3WTFtXY9x1MSp880Ws3gb	2021_logo1.png	LxiqbrBs2oG7vgxx2sOcizranDc	RO4pwjtSCicB7nk6brNcq8nInKc	成功
boxcn5H9t8F0LgzlcyRANzlt9Fe	WechatIMG3513.jpeg	ETgMb3AJco3OpoxEEBLcNL07nCh	I8KawRReyiRSkfkgHOLcaQ3anld	成功
boxcnQyuuLppyzEjL5T4NF2rLy6	贴膜v3-转曲.pdf	VswcbBCQBo3VOmxXe8rc4seinne	RdRKwwubGirALFkuGPYcAViEnic	成功
boxcn7kUrFm3NTVPMCAiraXsnCe	渲染图带logo.png	VvwXbr84zov3OLxLnzCcCL4vnGg	HQxxwS8QziD2klkJAuCcS4T3nGe	成功
boxcnc2iCQtix6oXMUn1KTjKilf	2-2.png	AkiVbzkRrooeDSxUToZcubnenSa	LeOowDAfsiQm0fkSyyScdqSJnug	成功
boxcnEkkR27uCcIZA3H3jEuGKid	贴膜v5-转曲.ai	ZmGZbJWSboynekxTvlEc27blnbF	ZIp7wkwssiSLT9kCi3rcXsEnnwc	成功
boxcn8UPXBq3ofM8sFEJRhsoKWc	渲染图带logo的副本.png	JpnBbF7FEovGcBxm0c7co5ILnTg	AG7dw1AvPigky7kE0N2c8N6ZnBg	成功
boxcnt43k1K6joiQsZOCod1cDXd	模型~.skp	XURMbuJeLonHG1xNpoUcCXr8nwg	QqbcwPc9LijcRFkCi7EcHfHqnUc	成功
boxcniEKQ0fXT960SnlSH1J9oke	贴膜v5-转曲_画板 1.png	Fp6pbf58BoMopixBCHMcnjP5nff	LqdXwafxZiv2eHk8SvbcuPpBnWc	成功
boxcnxOTpTeHilwWucORKnDneM4	贴膜v6-按钮无边框_画板 1.png	BboXbVMdvoWkXPxGXDPcBqQ1nFg	V85fw1hgIiYbe1kS8IdcXRK1nBj	成功
